X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,750,null,null,955,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,525,null,null,1020,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,600,null,null,985,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,825,null,null,954,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,900,null,null,1038,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,1050,null,null,1043,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,450,null,null,1022,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,975,null,null,983,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,675,null,null,981,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,1050,null,null,1000,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,975,null,null,955,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,900,null,null,1009,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,450,null,null,979,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,525,null,null,1000,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,825,null,null,981,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,600,null,null,1030,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,675,null,null,986,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,750,null,null,1019,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,975,null,null,1000,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,900,null,null,1029,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,450,null,null,1027,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,525,null,null,988,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,750,null,null,982,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,red
Chrome,825,null,null,978,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,1050,null,null,960,76,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,odd
Chrome,600,null,null,1044,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
Chrome,675,2019-07-10T16:52:53.513Z,I had no problems,959,83,2019-07-10T16:42:04.242Z,A1TLNLB9D87H6,spikey
